sku,dates,price,qty
10216,06/07/19,3706.0,1
10216,08/07/19,3613.0,1
10216,10/07/19,3613.0,1
10216,12/07/19,3613.0,3
10216,13/07/19,3613.0,1
10216,14/07/19,3613.0,3
10216,16/07/19,3696.0,2
10216,17/07/19,3696.0,1
10216,18/07/19,3696.0,1
10216,20/07/19,3696.0,1
10216,21/07/19,3696.0,1
10216,23/07/19,3654.0,1
10216,24/07/19,3654.0,2
10216,27/07/19,3654.0,1
10216,28/07/19,3654.0,1
10216,29/07/19,3674.0,1
10216,30/07/19,3674.0,1
10216,31/07/19,3674.0,2
10216,01/08/19,3674.0,1
10216,02/08/19,3674.0,2
10216,03/08/19,3674.0,2
10216,06/08/19,3671.0,2
10216,07/08/19,3671.0,1
10216,08/08/19,3671.0,1
10216,09/08/19,3671.0,1
10216,10/08/19,3671.0,1
10216,11/08/19,3671.0,2
10216,14/08/19,3660.0,1
10216,15/08/19,3660.0,2
10216,16/08/19,3660.0,1
10216,17/08/19,3660.0,1
10216,18/08/19,3660.0,1
10216,19/08/19,3766.0,2
10216,21/08/19,3766.0,2
10216,22/08/19,3766.0,1
10216,23/08/19,3766.0,1
10216,24/08/19,3766.0,2
10216,25/08/19,3766.0,1
10216,26/08/19,3722.0,1
10216,27/08/19,3722.0,3
10216,28/08/19,3722.0,1
10216,29/08/19,3722.0,2
10216,31/08/19,3722.0,2
10216,01/09/19,3722.0,1
10216,02/09/19,3652.0,1
10216,03/09/19,3652.0,2
10216,04/09/19,3652.0,1
10216,05/09/19,3652.0,1
10216,08/09/19,3652.0,2
10216,10/09/19,3684.0,3
10216,11/09/19,3684.0,1
10216,12/09/19,3684.0,1
10216,13/09/19,3684.0,1
10216,14/09/19,3684.0,1
10216,15/09/19,3684.0,1
10216,16/09/19,3721.0,1
10216,18/09/19,3721.0,1
10216,19/09/19,3721.0,2
10216,20/09/19,3721.0,2
10216,21/09/19,3721.0,1
10216,22/09/19,3721.0,1
10216,24/09/19,3681.0,1
10216,25/09/19,3681.0,2
10216,27/09/19,3681.0,2
10216,28/09/19,3681.0,1
10216,30/09/19,3765.0,1
10216,01/10/19,3765.0,2
10216,02/10/19,3765.0,2
10216,03/10/19,3765.0,3
10216,04/10/19,3765.0,1
10216,05/10/19,3765.0,1
10216,06/10/19,3765.0,1
10216,07/10/19,3718.0,3
10216,09/10/19,3718.0,1
10216,10/10/19,3718.0,1
10216,12/10/19,3718.0,1
10216,13/10/19,3718.0,1
10216,14/10/19,3697.0,1
10216,15/10/19,3697.0,1
10216,16/10/19,3697.0,2
10216,18/10/19,3697.0,2
10216,19/10/19,3697.0,2
10216,20/10/19,3697.0,1
10216,21/10/19,3726.0,1
10216,22/10/19,3726.0,2
10216,23/10/19,3726.0,2
10216,24/10/19,3726.0,2
10216,26/10/19,3726.0,1
10216,29/10/19,3690.0,1
10216,30/10/19,3690.0,1
10216,01/11/19,3690.0,1
10216,04/11/19,3742.0,1
10216,06/11/19,3742.0,2
10216,10/11/19,3742.0,1
10216,12/11/19,3327.0,2
10216,13/11/19,3327.0,3
10216,14/11/19,3327.0,1
10216,15/11/19,3327.0,3
10216,16/11/19,3327.0,1
10216,17/11/19,3327.0,2
10216,20/11/19,3306.0,1
10216,21/11/19,3306.0,2
10216,22/11/19,3306.0,2
10216,23/11/19,3306.0,2
10216,24/11/19,3306.0,3
10216,25/11/19,3395.0,2
10216,26/11/19,3395.0,2
10216,27/11/19,3395.0,2
10216,28/11/19,3395.0,1
10216,29/11/19,3395.0,2
10216,30/11/19,3395.0,2
10230,14/03/19,1229.0,7
10230,15/03/19,1229.0,7
10230,16/03/19,1229.0,5
10230,17/03/19,1229.0,5
10230,18/03/19,1230.0,6
10230,19/03/19,1230.0,6
10230,20/03/19,1230.0,3
10230,21/03/19,1230.0,4
10230,22/03/19,1230.0,5
10230,23/03/19,1230.0,4
10230,24/03/19,1230.0,4
10230,25/03/19,1206.0,5
10230,26/03/19,1206.0,7
10230,27/03/19,1206.0,5
10230,28/03/19,1206.0,5
10230,29/03/19,1206.0,3
10230,30/03/19,1206.0,5
10230,31/03/19,1206.0,5
10230,01/04/19,1225.0,6
10230,02/04/19,1225.0,5
10230,03/04/19,1225.0,5
10230,04/04/19,1225.0,7
10230,05/04/19,1225.0,5
10230,06/04/19,1225.0,6
10230,07/04/19,1225.0,4
10230,08/04/19,1223.0,5
10230,09/04/19,1223.0,5
10230,10/04/19,1223.0,7
10230,11/04/19,1223.0,4
10230,12/04/19,1223.0,3
10230,13/04/19,1223.0,6
10230,14/04/19,1223.0,5
10230,15/04/19,1216.0,4
10230,16/04/19,1216.0,5
10230,17/04/19,1216.0,4
10230,18/04/19,1216.0,5
10230,19/04/19,1216.0,5
10230,20/04/19,1216.0,4
10230,21/04/19,1216.0,5
10230,22/04/19,1212.0,4
10230,23/04/19,1212.0,5
10230,24/04/19,1212.0,4
10230,25/04/19,1212.0,4
10230,26/04/19,1212.0,4
10230,27/04/19,1212.0,4
10230,28/04/19,1212.0,5
